"","Year","Area","Session","Chair","Title","Authors","Abstract"
"98",1997,"Military Applications  ","Defense Modeling Environments","Curtis Blais (VisiCom Laboratories, Inc.)","Executing the DoD Modeling and Simulation Strategy - Making Simulation Systems of Systems a Reality","James Hollenbach, William Alexander (Defense Modelling and Simulation Office)","NA"
"99",1997,"Military Applications  ","Defense Modeling Environments","Curtis Blais (VisiCom Laboratories, Inc.)","Continuous Simulation of Air Base Assets (CSAA)- ""Integrating Logistics Support Operations""- A  Proposed Methodology","Stephen Parker (Parker Industrial Engineering & Computer Simulation Corp.)   Patrick Williams (BDM Federal, Inc.)","NA"
"100",1997,"Military Applications  ","Defense Modeling Environments","Curtis Blais (VisiCom Laboratories, Inc.)","Using Compensating Reconfiguration to Maintain Military Distributed Simulations","Donald Welch (University of Maryland)   James Purtilo (University of Maryland and UMIACS)","NA"
"101",1997,"Military Applications  ","Abstraction Techniques in Military Modeling","Alex Sisti (Rome Laboratory/IRAE)","Using Response Surface Methodology to Link Force Structure Budgets to Campaign Objectives","James Grier (HQ USAF/XPPP)   Glenn Bailey, Jack Jackson (Air Force Institute of Technology)","NA"
"102",1997,"Military Applications  ","Abstraction Techniques in Military Modeling","Alex Sisti (Rome Laboratory/IRAE)","A Framework for the Simulation Experimentation Process","Thomas Fall (Lockheed Martin Western Development Laboratories)","NA"
"103",1997,"Military Applications  ","Abstraction Techniques in Military Modeling","Alex Sisti (Rome Laboratory/IRAE)","Automating the Metamodeling Process","Don Caughlin (University of Colorado at Colorado Springs)","NA"
"104",1997,"Modeling Methodology","Simulation Synopsis:  Views from a User","NA","Focus Paper:  Issues in Modeling and Simulation:  Policies and Technologies","David Pratt, Drew Beasley [Joint Simulation System (JSIMS)]","NA"
"105",1997,"Modeling Methodology","Advances in Parallel and Distributed Simulation","Ernest Page (The MITRE Corporation)","Design and Implementation of HLA Time Management in the RTI Version F.0","Christopher Carothers, Richard Fujimoto (Georgia Institute of Technology)   Richard Weatherly, Annette Wilson (The MITRE Corporation)","NA"
"106",1997,"Modeling Methodology","Advances in Parallel and Distributed Simulation","Ernest Page (The MITRE Corporation)","Java Based Conservative Distributed Simulation","Alois Ferscha, Michael Richter (University of Vienna)","NA"
"107",1997,"Modeling Methodology","Advances in Parallel and Distributed Simulation","Ernest Page (The MITRE Corporation)","Minimum Cost Adaptive Synchronization: Experiments with the ParaSol System","Edward Mascarenhas (Silicon Graphics Computer Systems)   Felipe Knop (IBM Corporation)   Vernon Rego (Purdue University)","NA"
"108",1997,"Modeling Methodology","Multiagent Systems and Simulation","H. Szczerbicka (University of Bremen)  A. Uhrmacher (University of Ulm)","Simulation of Multiple Time-Pressured Agents","Scott Anderson (Spelman College)","NA"
"109",1997,"Modeling Methodology","Multiagent Systems and Simulation","H. Szczerbicka (University of Bremen)  A. Uhrmacher (University of Ulm)","Simulation-Based Planning for Multi-Agent Environments","Jin Joo Lee (LSI Logic Corporation)   Paul Fishwick (University of Florida)","NA"
"110",1997,"Modeling Methodology","Multiagent Systems and Simulation","H. Szczerbicka (University of Bremen)  A. Uhrmacher (University of Ulm)","Simulation and Control of Reactive Systems","Pawel Gburzynsk (University of Alberta)   Jacek Maitan (Tools for Sensors)","NA"
"111",1997,"Modeling Methodology","Performance Measurement in Parallel & Distributed Simulation","Philip Barry (The MITRE Corporation)","A Performance Monitoring Application for Distributed Interactive Simulations (DIS)","David Cavitt, C. Michael Overstreet, Kurt  Maly (Old Dominion University)","NA"
"112",1997,"Modeling Methodology","Performance Measurement in Parallel & Distributed Simulation","Philip Barry (The MITRE Corporation)","A Framework for Performance Analysis of Parallel Discrete Event Simulators","Vijay Balakrishnan, Peter Frey,Nael Abu-Ghazaleh, Philip Wilsey (University of Cincinnati)","NA"
"113",1997,"Modeling Methodology","Performance Measurement in Parallel & Distributed Simulation","Philip Barry (The MITRE Corporation)","Parallel Simulation of TCP/IP Using TeD","Brian Premore, David Nicol (Dartmouth College)","NA"
"114",1997,"Modeling Methodology","Innovative Techniques in Parallel Simulation","Manuel Rossetti (University of Virginia)","Cloning:  A Novel Method for Interactive Parallel Simulation","Maria Hybinette, Richard Fujimoto (Georgia Institute of Technology)","NA"
"115",1997,"Modeling Methodology","Innovative Techniques in Parallel Simulation","Manuel Rossetti (University of Virginia)","Checkpoint and Recovery Methods in the ParaSol Simulation System","Edward Mascarenhas (Silicon Graphics Computer Systems)   Felipe Knop (IBM Corporation)   Reuben Pasquini, Vernon Rego (Purdue University)","NA"
"116",1997,"Modeling Methodology","Innovative Techniques in Parallel Simulation","Manuel Rossetti (University of Virginia)","Multiplexed State Saving for Bounded Rollback","Fabian Gomes (Nortel)   Brian Unger (University of Calgary)   John Cleary, Steve Franks (University of Waikato)","NA"
"117",1997,"Modeling Methodology","Advances in Web-Based Simulation","Steven Farr (Rome Laboratory/IRAE)","Web-Based Simulation in Simjava Using Remote Method Invocation","Ernest Page, Robert Moose, Sean Griffin (The Mitre Corporation)","NA"
"118",1997,"Modeling Methodology","Advances in Web-Based Simulation","Steven Farr (Rome Laboratory/IRAE)","Silk:  A Java-Based Process Simulation Language","Kevin Healy, Richard Kilgore (Thread Technologies)","NA"
"119",1997,"Modeling Methodology","Advances in Web-Based Simulation","Steven Farr (Rome Laboratory/IRAE)","SimJAVA - A Framework for Modeling Queueing Networks in Java","Wolfgang Kreutzer, Jane Hopkins, Marcel van Mierlo (University of Canterbury)","NA"
"120",1997,"Modeling Methodology","Validation, Verification and Accreditation Panel","J. D. Arthur (Virginia Tech)","Verification, Validation & Accreditation: Disciplines in Dialogue or Can We Learn From the  Experiences of Others?","James Arthur, Richard Nance (Virginia Tech)   Robert Sargent (Syracuse University)   Dolores Wallace (National Institute of Standards and Technology)    Linda Rosenberg (Unisys/NASA GSFC)   Paul Muessig (Naval Air Warfare Center)","NA"
"121",1997,"Modeling Methodology","Simulation Support Environments","Robert Moose (The MITRE Corporation)","A Framework for Developing and Managing Objects in a Complex Simulation System","James Barrett (NYMA, Inc.)","NA"
"122",1997,"Modeling Methodology","Simulation Support Environments","Robert Moose (The MITRE Corporation)","SimTutor: A Multimedia Intelligent Tutoring System for Simulation Modeling","Tajudeen Atolagbe, Vlatka Hlupic (Brunel University)","NA"
